1,google.com
2,microsoft.com
3,www.google.com
4,data.microsoft.com
5,events.data.microsoft.com
6,safebrowsing.googleapis.com
7,windowsupdate.com
8,ctldl.windowsupdate.com
9,live.com
10,clientservices.googleapis.com
11,doubleclick.net
12,settings-win.data.microsoft.com
13,g.doubleclick.net
14,googleusercontent.com
15,netflix.com
16,facebook.com
17,google-analytics.com
18,microsoftonline.com
19,login.microsoftonline.com
20,officeapps.live.com
21,apple.com
22,www.google-analytics.com
23,office.com
24,www.googleapis.com
25,ftl.netflix.com
26,update.googleapis.com
27,fonts.googleapis.com
28,prod.ftl.netflix.com
29,api-global.netflix.com
30,amazonaws.com
31,googleads.g.doubleclick.net
32,bing.com
33,office365.com
34,play.google.com
35,nexusrules.officeapps.live.com
36,nrdp.prod.ftl.netflix.com
37,akamaiedge.net
38,self.events.data.microsoft.com
39,akadns.net
40,mtalk.google.com
41,skype.com
42,com.akadns.net
43,outlook.office365.com
44,youtube.com
45,mp.microsoft.com
46,icloud.com
47,clients4.google.com
48,msn.com
49,lh3.googleusercontent.com
50,adservice.google.com
51,v10.events.data.microsoft.com
52,googletagmanager.com
53,www.googletagmanager.com
54,login.live.com
55,office.net
56,content-autofill.googleapis.com
57,lencr.org
58,teams.microsoft.com
59,aria.microsoft.com
60,pipe.aria.microsoft.com
61,accounts.google.com
62,yahoo.com
63,stats.g.doubleclick.net
64,ls.apple.com
65,windows.net
66,www.facebook.com
67,googlesyndication.com
68,googleadservices.com
69,www.apple.com
70,digicert.com
71,itunes.apple.com
72,outlook.office.com
73,browser.pipe.aria.microsoft.com
74,www.bing.com
75,aaplimg.com
76,edge.skype.com
77,config.edge.skype.com
78,www.youtube.com
79,clients6.google.com
80,roaming.officeapps.live.com
81,config.teams.microsoft.com
82,ytimg.com
83,i.ytimg.com
84,www.googleadservices.com
85,pagead2.googlesyndication.com
86,c.lencr.org
87,x1.c.lencr.org
88,g.aaplimg.com
89,push.apple.com
90,apple-dns.net
91,substrate.office.com
92,dsp.mp.microsoft.com
93,fe.apple-dns.net
94,play.googleapis.com
95,www.icloud.com
96,identrust.com
97,windows.com
98,crl.identrust.com
99,api.msn.com
100,do.dsp.mp.microsoft.com
101,prod.do.dsp.mp.microsoft.com
102,apis.google.com
103,storage.googleapis.com
104,dscx.akamaiedge.net
105,presence.teams.microsoft.com
106,ocsp.digicert.com
107,gateway.icloud.com
108,ecs.office.com
109,teams.events.data.microsoft.com
110,cdn.office.net
111,clients2.google.com
112,gvt2.com
113,fbcdn.net
114,facebook.net
115,connect.facebook.net
116,docs.google.com
117,outlook.com
118,time.apple.com
119,scorecardresearch.com
120,app-measurement.com
121,e6858.dscx.akamaiedge.net
122,ogs.google.com
123,tpc.googlesyndication.com
124,sb.scorecardresearch.com
125,a.akamaiedge.net
126,weather.microsoft.com
127,oauthaccountmanager.googleapis.com
128,gateway.fe.apple-dns.net
129,lh5.googleusercontent.com
130,graph.facebook.com
131,ic3.events.data.microsoft.com
132,sharepoint.com
133,msedge.net
134,gcp.gvt2.com
135,measure.office.com
136,fp.measure.office.com
137,beacons.gcp.gvt2.com
138,tile-service.weather.microsoft.com
139,activity.windows.com
140,mesu.apple.com
141,cloudflare.com
142,res.office365.com
143,googletagservices.com
144,www.googletagservices.com
145,signaler-pa.clients6.google.com
146,time-osx.g.aaplimg.com
147,addons-pa.clients6.google.com
148,ichnaea.netflix.com
149,upload.fp.measure.office.com
150,edge.microsoft.com
151,delve.office.com
152,prod.netflix.com
153,push.prod.netflix.com
154,core.windows.net
155,demdex.net
156,adnxs.com
157,r4.res.office365.com
158,xx.fbcdn.net
159,akamai.net
160,loki.delve.office.com
161,blob.core.windows.net
162,opendns.com
163,icloud.com.akadns.net
164,www-cdn.icloud.com.akadns.net
165,ggpht.com
166,assets.msn.com
167,msg.teams.microsoft.com
168,ng.msg.teams.microsoft.com
169,googlevideo.com
170,securepubads.g.doubleclick.net
171,init.itunes.apple.com
172,twitter.com
173,amazon.com
